paddingRequest,paddingRequest_size,paddingResponse,paddingResponse_size,payoutRequest,payoutRequest_size,payoutVerify,payoutVerify_size
134.70000004768372,2631,331.09999990463257,2601,14465.399999856949,16134,1420,474
120.5,2631,333.09999990463257,2601,14905.899999856949,16134,1413.5,474
126.29999995231628,2631,326.89999985694885,2601,14871.099999904633,16132,1383.5,474
119.29999995231628,2631,330.90000009536743,2601,14910.099999904633,16127,1415.8999998569489,474
114.79999995231628,2631,314.40000009536743,2601,15039.5,16127,1413.2999999523163,474
121.60000014305115,2631,329.7999999523163,2601,14893.799999952316,16130,1407.8000001907349,474
123.60000014305115,2631,327.7000000476837,2601,14920.600000143051,16139,1408.8000001907349,474
120.59999990463257,2631,327.40000009536743,2601,14975.599999904633,16134,1410.3000001907349,474
120.70000004768372,2631,328.7999999523163,2601,14848.399999856949,16130,1411,474
121.30000019073486,2631,328.90000009536743,2601,14750.599999904633,16133,1408.1999998092651,474
119,2631,325.7999999523163,2601,14748.200000047684,16128,1412.1000001430511,474
120.5,2631,328.2000000476837,2601,15080.600000143051,16134,1416.7999999523163,474
123.39999985694885,2631,328.2999999523163,2601,15002.700000047684,16130,1407.2999999523163,474
115.39999985694885,2631,316.5,2601,14423.599999904633,16133,1374,474
111.20000004768372,2631,324.2999999523163,2601,14984,16129,1406.7999999523163,474
117.40000009536743,2631,314.90000009536743,2601,14400.299999952316,16127,1368,474
116.60000014305115,2631,325.09999990463257,2601,14845.099999904633,16133,1407.7999999523163,474
120.70000004768372,2631,328.09999990463257,2601,14786.400000095367,16125,1405,474
121,2631,326.39999985694885,2601,14776.200000047684,16129,1410.1000001430511,474
119.09999990463257,2631,326.60000014305115,2601,14731.300000190735,16124,1403.5999999046326,474
118.40000009536743,2631,314.09999990463257,2601,14302,16131,1365.4000000953674,474
116.70000004768372,2631,317.59999990463257,2601,14401.700000047684,16129,1372.5999999046326,474
115.5,2631,319.2000000476837,2601,14472.099999904633,16140,1377.5,474
116.90000009536743,2631,318.90000009536743,2601,14429.700000047684,16127,1379,474
116.5,2631,327,2601,14858.600000143051,16123,1408.4000000953674,474
120.70000004768372,2631,329,2601,14795.099999904633,16126,1406.7999999523163,474
123.40000009536743,2631,327.7999999523163,2601,14812.099999904633,16138,1405.8999998569489,474
118.70000004768372,2631,326.40000009536743,2601,14784.200000047684,16131,1408.7999999523163,474
120.90000009536743,2631,328.2000000476837,2601,14834.299999952316,16133,1400.7999999523163,474
120,2631,325.5,2601,14725,16133,1402.6999998092651,474
120.70000004768372,2631,326.80000019073486,2601,14845.700000047684,16124,1402.9000000953674,474
118.40000009536743,2631,327.2000000476837,2601,14795,16134,1402.7000000476837,474
118.09999990463257,2631,313.7999999523163,2601,14389.5,16126,1404.3999998569489,474
118.10000014305115,2631,316.30000019073486,2601,14370.5,16125,1367.7000000476837,474
119.79999995231628,2631,318.89999985694885,2601,14415.399999856949,16126,1369.7000000476837,474
116.70000004768372,2631,327.2999999523163,2601,14805.100000143051,16123,1399.5,474
114.5,2631,316.60000014305115,2601,14385.700000047684,16128,1371,474
119.29999995231628,2631,316.2999999523163,2601,14552.600000143051,16129,1388.1999998092651,474
117.09999990463257,2631,318.7000000476837,2601,14471.900000095367,16128,1373.9000000953674,474
117.10000014305115,2631,319.7000000476837,2601,14489.5,16124,1378.5,474
115.10000014305115,2631,322.5,2601,14494.299999952316,16126,1372.9000000953674,474
116.19999980926514,2631,326.5,2601,15027.200000047684,16137,1417.9000000953674,474
119.59999990463257,2631,332,2601,14873,16132,1412,474
118.90000009536743,2631,323.5,2601,14938.400000095367,16129,1408.7999999523163,474
123,2631,327.7000000476837,2601,14828.799999952316,16131,1406.2999999523163,474
120.59999990463257,2631,326.7999999523163,2601,14824.600000143051,16126,1357.5999999046326,474
116.5,2631,325.5,2601,14829.599999904633,16130,1406.5999999046326,474
116.60000014305115,2631,329.90000009536743,2601,14415.600000143051,16134,1371.6000001430511,474
115.5,2631,320,2601,14428.5,16127,1368.1999998092651,474
115.79999995231628,2631,324.7999999523163,2601,14795.700000047684,16124,1406.2999999523163,474
118.79999995231628,2631,327.40000009536743,2601,14747.899999856949,16125,1403.6000001430511,474
118.29999995231628,2631,327,2601,14757.600000143051,16124,1405.2999999523163,474
117.59999990463257,2631,331,2601,14867.900000095367,16134,1405.9000000953674,474
118.80000019073486,2631,316.19999980926514,2601,14358.900000095367,16135,1364.2999999523163,474
116.29999995231628,2631,326.10000014305115,2601,14824.299999952316,16131,1409.1999998092651,474
122.90000009536743,2631,327.10000014305115,2601,14424.099999904633,16134,1371.2999999523163,474
117,2631,323.7999999523163,2601,14569.699999809265,16131,1415.7000000476837,474
124.09999990463257,2631,336.30000019073486,2601,14868.399999856949,16127,1409.3999998569489,474
120.09999990463257,2631,324.39999985694885,2601,14923.599999904633,16132,1417.0999999046326,474
120.79999995231628,2631,329.10000014305115,2601,14715.099999904633,16125,1377.9000000953674,474
119,2631,330.90000009536743,2601,14876.399999856949,16128,1407.2999999523163,474
114.60000014305115,2631,315,2601,14374,16130,1365.2999999523163,474
118.59999990463257,2631,328.90000009536743,2601,14869.5,16135,1431,474
121.79999995231628,2631,339.09999990463257,2601,14866.400000095367,16133,1367.5,474
118.80000019073486,2631,332.30000019073486,2601,14803.099999904633,16124,1402.2000000476837,474
120.40000009536743,2631,326.2000000476837,2601,14769.599999904633,16125,1403.2999999523163,474
117.89999985694885,2631,324.5,2601,14739.099999904633,16128,1402.1999998092651,474
120.80000019073486,2631,324.5,2601,14725.799999952316,16127,1362.9000000953674,474
116.70000004768372,2631,316.5,2601,14357.299999952316,16127,1421.7000000476837,474
123,2631,336.2000000476837,2601,15157.199999809265,16128,1385.4000000953674,474
116.89999985694885,2631,320.2999999523163,2601,14400.600000143051,16130,1379.1999998092651,474
116,2631,325.2999999523163,2601,14846.700000047684,16122,1410.6000001430511,474
121.40000009536743,2631,326.5,2601,14921,16132,1421.3999998569489,474
123.79999995231628,2631,329.90000009536743,2601,14774.099999904633,16134,1369.0999999046326,474
117.29999995231628,2631,316.90000009536743,2601,14428,16133,1403.9000000953674,474
110.89999985694885,2631,311.2000000476837,2601,14409.5,16126,1378.2000000476837,474
116.89999985694885,2631,319,2601,14806.799999952316,16132,1411.9000000953674,474
116.20000004768372,2631,315.69999980926514,2601,14386.599999904633,16125,1413.6000001430511,474
122.79999995231628,2631,313.09999990463257,2601,14590.100000143051,16125,1410.5999999046326,474
120.80000019073486,2631,325,2601,15070.800000190735,16135,1388.9000000953674,474
116.59999990463257,2631,325.40000009536743,2601,14512.700000047684,16126,1381.9000000953674,474
117.79999995231628,2631,326.2999999523163,2601,15247.800000190735,16133,1434.5999999046326,474
122.5,2631,332.7999999523163,2601,14962.099999904633,16126,1416.7999999523163,474
119.79999995231628,2631,329.2000000476837,2601,14854.5,16124,1408.7000000476837,474
122.10000014305115,2631,326,2601,14790.900000095367,16137,1413.2000000476837,474
121.09999990463257,2631,329.5,2601,14834,16131,1410.8999998569489,474
121,2631,329.40000009536743,2601,14781,16133,1384.5999999046326,474
119.20000004768372,2631,318.90000009536743,2601,14558.200000047684,16125,1388.5,474
116.70000004768372,2631,322.5,2601,14504,16133,1377,474
123.5,2631,321.90000009536743,2601,14517.199999809265,16132,1378,474
120,2631,320,2601,14451.900000095367,16127,1381.9000000953674,474
120.40000009536743,2631,318.7000000476837,2601,14750.299999952316,16135,1382.2000000476837,474
117.5,2631,321.5,2601,14476,16134,1387.4000000953674,474
108.09999990463257,2631,322.09999990463257,2601,14502.199999809265,16130,1414.1999998092651,474
110.39999985694885,2631,319.69999980926514,2601,15000.600000143051,16126,1403.7999999523163,474
121.20000004768372,2631,326.59999990463257,2601,14734.900000095367,16136,1401,474
118.69999980926514,2631,325.5,2601,14532.100000143051,16130,1398.5999999046326,474
118.20000004768372,2631,311.89999985694885,2601,14313.399999856949,16133,1393.8999998569489,474
118.70000004768372,2631,317.5,2601,14261.700000047684,16124,1357.5999999046326,474
116.70000004768372,2631,316.5,2601,14574.200000047684,16129,1407,474
