participate,participate_size,confirm,confirm_size,reward,reward_size
642,9111,385,474,15.000000000001819,864
636.9999999999982,9111,384,474,13.999999999998181,864
362.9999999999982,6500,261,474,14,864
326,5673,238,474,14,864
1037.0000000000036,10895,538.9999999999964,474,14,864
325,5673,238,474,14,864
326,5673,237,474,14,864
326.00000000000364,5673,237,474,14,864
325,5673,236,474,14,864
327,5673,237,474,14,864
563,7457,338.00000000000364,474,13.999999999996362,864
362,6500,261,474,14,864
563,7457,336.99999999999636,474,14,864
327,5673,237,474,14,864
569,7587,341,474,14,864
326,5673,236,474,12.999999999996362,864
326.00000000000364,5673,236,474,14,864
325,5673,238,474,14,864
1150,13506,609,474,14,864
564,7457,338,474,13,864
671,9938,408,474,14,864
327.00000000000364,5673,236.99999999999636,474,15,864
328,5673,235.99999999999636,474,14.000000000003638,864
327,5673,237,474,13,864
325,5673,238,474,13.000000000007276,864
326,5673,237.00000000000728,474,13.999999999992724,864
565,7457,337,474,14,864
600,8284,360,474,14,864
326,5673,238,474,14,864
326,5673,235.99999999999272,474,14.000000000007276,864
326.9999999999927,5673,236,474,14,864
326,5673,236,474,13,864
331,5673,236,474,14,864
653,9501,393,474,14,864
326.0000000000073,5673,236.99999999999272,474,13,864
326,5673,237,474,14,864
325,5673,238,474,14,864
326,5673,237,474,13,864
659,9631,396,474,14,864
600,8284,361,474,14,864
327,5673,237,474,14,864
563,7457,338,474,14,864
326,5673,237,474,14,864
326,5673,237,474,14,864
1197.0000000000073,14593,639.0000000000073,474,13.999999999992724,864
568,7587,342.0000000000073,474,13.999999999992724,864
325,5673,237,474,14,864
1119.0000000000073,12809,592,474,14.000000000007276,864
324.9999999999927,5673,235.99999999999272,474,15,864
599,8284,360,474,14,864
327,5673,237,474,14.000000000007276,864
598.9999999999927,8284,361,474,14,864
326,5673,237,474,14,864
326,5673,236,474,13,864
1036,10895,536,474,14,864
362.0000000000073,6500,259.9999999999927,474,14,864
329,5673,236.99999999999272,474,14,864
326,5673,237.00000000000728,474,15,864
325.9999999999927,5673,236,474,13,864
326,5673,238,474,14,864
325,5673,236,474,14,864
327,5673,236,474,13,864
327.0000000000073,5673,235.99999999999272,474,14,864
326,5673,236.00000000000728,474,13.999999999992724,864
326,5673,237,474,15,864
326,5673,236,474,14,864
570.0000000000073,7587,340.0000000000073,474,14.000000000007276,864
324.9999999999927,5673,238,474,14,864
326,5673,236,474,14,864
326.00000000001455,5673,236.99999999998545,474,13,864
361,6500,260,474,14.000000000014552,864
326.99999999998545,5673,237,474,13,864
325,5673,237.00000000001455,474,13.999999999985448,864
