registerRequest,registerRequest_size,registerVerify,registerVerify_size,registerComplete,registerComplete_size
26,466,30,260,22,0
22,468,25.000000000000114,260,21.999999999999886,0
22,459,25,260,21,0
22,469,25,260,21,0
22,458,25,260,21,0
22.000000000000114,463,24.999999999999886,260,22,0
21,466,25,260,21,0
22.000000000000114,466,24.999999999999886,260,21,0
22,471,25,260,21,0
22,471,26,260,21,0
22,469,25,260,21,0
22,467,25,260,21.000000000000227,0
21.999999999999773,467,25,260,21,0
21,463,25.000000000000227,260,20.999999999999773,0
22,459,25,260,20,0
21,473,25,260,19.999999999999773,0
22,468,25,260,21,0
21,468,25.000000000000227,260,20.999999999999773,0
22,457,25,260,21,0
22.000000000000227,469,24.999999999999773,260,21,0
22,464,25,260,21,0
22,464,25,260,21,0
22,465,25,260,21,0
22.000000000000227,476,24.999999999999773,260,21,0
22,463,25,260,21,0
22,464,25,260,21,0
22,467,25.000000000000455,260,21.999999999999545,0
22,459,25,260,21,0
21,465,25.000000000000455,260,20.999999999999545,0
21,462,24,260,21,0
21,458,25,260,21,0
22,457,25,260,21,0
21.000000000000455,465,24,260,20,0
21,466,25,260,21,0
21,464,24.999999999999545,260,21,0
21,464,25,260,21.000000000000455,0
21.999999999999545,463,25,260,21,0
22,462,25,260,20,0
21.999999999999545,467,25,260,21,0
22,462,25,260,21,0
22,466,25,260,21,0
22.000000000000455,465,25.999999999999545,260,21,0
22,462,25,260,21,0
21,459,24.999999999999545,260,21,0
21,465,25,260,21,0
22,458,25.000000000000455,260,20.999999999999545,0
22,458,25,260,21.000000000000455,0
21.999999999999545,467,25,260,21,0
22,469,25,260,21,0
22,470,25,260,21,0
22,464,25,260,21,0
22.000000000000455,464,24.999999999999545,260,21,0
22.000000000000455,462,24.999999999999545,260,20.999999999999545,0
22.000000000000455,466,25,260,21,0
22.00000000000091,462,24.99999999999909,260,21,0
22,465,25,260,21,0
22,469,26,260,21,0
22,460,25,260,21,0
22,469,25.00000000000091,260,20.99999999999909,0
22,457,25,260,21,0
22,465,25,260,21.00000000000091,0
20.99999999999909,466,25,260,20,0
21,458,25,260,21,0
22,458,25,260,21,0
22,463,26,260,20,0
21,457,25,260,21,0
22,463,25,260,21,0
22,465,25,260,21,0
22,458,25,260,21,0
22,466,25,260,21,0
