participate,participate_size,confirm,confirm_size,reward,reward_size
638,8934,376,474,14,864
326,5673,237,474,14,864
326,5673,237,474,14.000000000058208,864
324.9999999999418,5673,236,474,14,864
327,5673,236,474,14,864
737,11368,447,474,14,864
326,5673,237,474,14,864
326,5673,237,474,14,864
326,5673,236,474,14.000000000058208,864
325.9999999999418,5673,237,474,14.000000000058208,864
654.9999999999418,9501,393.0000000000582,474,13.999999999941792,864
326,5673,236.0000000000582,474,13.999999999941792,864
326,5673,237,474,14,864
563,7457,337,474,14,864
327,5673,236,474,13,864
329,5673,237.0000000000582,474,13.999999999941792,864
325,5673,236.0000000000582,474,13.999999999941792,864
328,5673,237,474,14,864
325,5673,236,474,13,864
327,5673,236,474,14,864
327,5673,236,474,14,864
364,6500,260.0000000000582,474,13.999999999941792,864
326,5673,237,474,13,864
325,5673,237,474,14,864
326,5673,236,474,14,864
326,5673,237,474,14,864
326,5673,235.9999999999418,474,14.000000000058208,864
325.9999999999418,5673,237,474,14.000000000058208,864
391.9999999999418,7150,274,474,14,864
600,8284,360,474,14,864
363,6500,260,474,14,864
326,5673,237,474,14,864
393,7150,275,474,14,864
326,5673,237,474,13,864
325,5673,236,474,13,864
1223,15113,652,474,14,864
326.0000000000582,5673,238,474,15.999999999941792,864
563,7457,338,474,14,864
326,5673,236,474,14,864
326,5673,237,474,14,864
362,6500,260,474,14,864
326,5673,237,474,14,864
326.0000000000582,5673,235.9999999999418,474,13.000000000058208,864
326.0000000000582,5673,235.9999999999418,474,14.000000000058208,864
325.9999999999418,5673,235.9999999999418,474,14.000000000058208,864
325.9999999999418,5673,240,474,14,864
563,7457,337,474,13,864
564,7457,337,474,14,864
587,7977,349,474,14,864
326.0000000000582,5673,236,474,14,864
326.0000000000582,5673,235.9999999999418,474,14.000000000058208,864
325.9999999999418,5673,237,474,14,864
326,5673,237,474,14,864
391,7150,274,474,14.000000000058208,864
325.9999999999418,5673,235.9999999999418,474,14.000000000058208,864
361.9999999999418,6500,260,474,14,864
326,5673,236,474,13,864
326,5673,237,474,14,864
327,5673,236,474,14,864
587,7977,349,474,14,864
599,8284,361,474,14,864
326,5673,237,474,14,864
682,10151,408,474,14,864
1231,15243,653,474,14,864
326.0000000000582,5673,237.0000000000582,474,13.999999999941792,864
326,5673,237.0000000000582,474,13.999999999941792,864
326,5673,236,474,12.999999999941792,864
326,5673,237,474,14,864
326,5673,236,474,14,864
638,9111,384,474,14,864
633,9064,378,474,14,864
394,7150,274,474,13.000000000058208,864
634.9999999999418,9064,379,474,14,864
326,5673,236,474,14,864
684,10151,409,474,14,864
574.0000000000582,7717,342.9999999999418,474,13,864
1226,15243,653.0000000000582,474,14,864
1228,15243,654,474,14.000000000058208,864
325.9999999999418,5673,236,474,14,864
1142,13329,601,474,14,864
652,9501,393,474,14,864
325,5673,236,474,13,864
325,5673,237,474,14,864
597.9999999999418,8284,360,474,14,864
326,5673,239,474,14,864
364.0000000000582,6500,259.9999999999418,474,13.000000000058208,864
390,7150,275,474,14,864
326,5673,237,474,14,864
326,5673,237,474,13,864
364,6500,260,474,14,864
688,10328,417,474,14,864
655,9501,393,474,14,864
653,9501,394,474,14,864
328,5673,237,474,14,864
362,6500,260,474,14,864
326,5673,236,474,14,864
1299,16756,683,474,14,864
391,7150,275,474,14.000000000058208,864
325.9999999999418,5673,235.9999999999418,474,13.000000000058208,864
620,8757,367,474,14,864
326,5673,237,474,13,864
686,10281,411,474,13.999999999941792,864
326,5673,236,474,13,864
689,10281,411,474,14,864
326,5673,236,474,14,864
326,5673,237.0000000000582,474,12.999999999941792,864
653,9501,393,474,14,864
326,5673,237.0000000000582,474,13.999999999941792,864
326,5673,237.0000000000582,474,12.999999999941792,864
326,5673,236,474,14,864
1179,14026,621,474,14,864
620,8836,378.0000000000582,474,13.999999999941792,864
326,5673,237,474,13,864
326,5673,237,474,14.000000000058208,864
691.9999999999418,10411,414,474,14,864
609,8497,362,474,14.000000000058208,864
694.9999999999418,10411,417,474,14,864
326,5673,236,474,14,864
325,5673,237,474,14,864
326,5673,237,474,14,864
690,10328,417,474,14,864
1238,15503,659,474,14,864
326,5673,237,474,14,864
326,5673,237,474,14,864
326,5673,236.0000000000582,474,13,864
326,5673,236.0000000000582,474,13.999999999941792,864
1038,10895,536,474,12.999999999941792,864
325.0000000000582,5673,237.0000000000582,474,14,864
361,6500,261.0000000000582,474,13,864
574,7717,344,474,14.000000000058208,864
325.9999999999418,5673,236.9999999999418,474,14,864
599.0000000000582,8284,361.9999999999418,474,14,864
399,7280,281,474,14,864
563,7457,338.0000000000582,474,13.999999999941792,864
615,8627,364,474,14,864
326,5673,236,474,14,864
577,7717,344,474,14,864
326,5673,237,474,14,864
326.0000000000582,5673,235.9999999999418,474,14.000000000058208,864
327,5673,235.9999999999418,474,14.000000000058208,864
597.9999999999418,8237,355,474,14,864
326,5673,240,474,14.000000000058208,864
363.9999999999418,6500,260.0000000000582,474,13.999999999941792,864
699,10541,417.0000000000582,474,13.999999999941792,864
326,5673,236,474,14,864
326,5673,237,474,14,864
326,5673,236,474,14,864
329,5673,237.0000000000582,474,13.999999999941792,864
326,5673,237.0000000000582,474,12.999999999941792,864
362,6500,260,474,12.999999999941792,864
326,5673,236,474,13.999999999941792,864
326,5673,237,474,14,864
328,5673,237.0000000000582,474,13.999999999941792,864
326,5673,237.0000000000582,474,13.999999999941792,864
690,10328,417,474,13,864
324.9999999999418,5673,237,474,14,864
326,5673,236,474,14,864
326,5673,237,474,14,864
326,5673,237,474,14,864
326,5673,237,474,13,864
325,5673,237,474,14,864
326.0000000000582,5673,236.9999999999418,474,14,864
326.0000000000582,5673,239.9999999999418,474,14,864
600,8237,355,474,14,864
326,5673,236,474,14,864
327,5673,236,474,14,864
326,5673,237,474,14,864
326,5673,236.0000000000582,474,14,864
328,5673,237,474,14,864
396,7280,278.0000000000582,474,13.999999999941792,864
362,6500,260,474,13.999999999941792,864
601,8284,361,474,14,864
326,5673,240,474,13,864
699,10541,417,474,14,864
771,12148,459,474,14,864
326,5673,237,474,14,864
326,5673,236,474,14,864
326,5673,237,474,14,864
326,5673,237,474,14,864
326,5673,237,474,14,864
601,8284,362,474,13,864
325,5673,237,474,14,864
326,5673,237,474,14,864
598,8237,355,474,13.000000000058208,864
399,7280,278.0000000000582,474,13.999999999941792,864
563,7457,337,474,14,864
326,5673,236,474,14,864
326,5673,237,474,13,864
326,5673,237,474,14,864
325,5673,237.0000000000582,474,13.999999999941792,864
326,5673,237.0000000000582,474,13.999999999941792,864
402,7280,277,474,13,864
325.9999999999418,5673,235.9999999999418,474,14.000000000058208,864
325.9999999999418,5673,237,474,14.000000000058208,864
325.9999999999418,5673,237,474,14.000000000058208,864
324.9999999999418,5673,236,474,13,864
328,5673,237,474,14.000000000058208,864
325.9999999999418,5673,236,474,14,864
326,5673,236,474,14,864
326,5673,236,474,14,864
326,5673,236,474,14,864
600,8237,355,474,14,864
578.0000000000582,7717,342.9999999999418,474,14,864
1350,17926,710.0000000000582,474,13,864
575,7717,343.0000000000582,474,13.999999999941792,864
326,5673,236,474,13,864
564,7457,337,474,14,864
326,5673,237,474,14,864
563,7457,338.0000000000582,474,12.999999999941792,864
326,5673,236,474,14,864
326.0000000000582,5673,237.0000000000582,474,12.999999999941792,864
325,5673,236,474,13,864
399,7280,278,474,14,864
326.0000000000582,5673,236,474,14,864
326.0000000000582,5673,236.9999999999418,474,14,864
326.0000000000582,5673,235.9999999999418,474,14.000000000058208,864
712.9999999999418,10801,423,474,14,864
575,7717,344,474,14,864
328.0000000000582,5673,237.0000000000582,474,13.999999999941792,864
563.0000000000582,7457,337,474,14,864
326,5673,237,474,14,864
326,5673,237,474,14,864
326,5673,237,474,14,864
328.0000000000582,5673,236,474,14,864
326,5673,237,474,13,864
362,6500,260,474,14.000000000058208,864
325.9999999999418,5673,237,474,14,864
326,5673,237,474,14,864
784,12408,466,474,14,864
600.0000000000582,8284,359.9999999999418,474,14,864
326,5673,237,474,14,864
326,5673,236,474,14,864
