paddingRequest,paddingRequest_size,paddingResponse,paddingResponse_size,payoutRequest,payoutRequest_size,payoutVerify,payoutVerify_size
57,2631,132,2601,5934.000000000233,16134,570.9999999997672,474
48,2631,132,2601,5932,16134,572,474
48,2631,131,2601,5932,16132,572,474
47,2631,132,2601,5902,16127,572,474
47,2631,131,2601,5957,16127,571,474
48,2631,131,2601,5932,16130,572,474
48,2631,131,2601,5929,16139,571.0000000002328,474
48,2631,130.99999999976717,2601,5959,16134,571,474
48,2631,132,2601,5918,16130,572,474
48,2631,131,2601,5905,16133,571,474
48,2631,132,2601,5907,16128,571,474
48,2631,131,2601,5944.000000000233,16134,570.9999999997672,474
47,2631,131.00000000023283,2601,5929.999999999767,16130,571,474
48,2631,131,2601,5920,16133,571.0000000002328,474
48,2631,130.99999999976717,2601,5945,16129,572,474
48,2631,131.00000000023283,2601,5931.999999999767,16127,571,474
48,2631,132.00000000023283,2601,5932.999999999767,16133,572,474
48,2631,131,2601,5919,16125,571,474
48,2631,131,2601,5917.999999999767,16129,571.0000000002328,474
48,2631,130.99999999976717,2601,5905,16124,572,474
47,2631,132,2601,5908,16131,570,474
47,2631,132,2601,5905,16129,571.0000000002328,474
48,2631,130.99999999976717,2601,5922,16140,571,474
46.99999999976717,2631,130.99999999976717,2601,5908.000000000233,16127,570.9999999997672,474
48,2631,131.00000000023283,2601,5916.999999999767,16123,571,474
48,2631,131,2601,5921,16126,571,474
48,2631,132,2601,5922,16138,571,474
48,2631,131,2601,5931,16131,572,474
48,2631,131,2601,5933,16133,571,474
48,2631,131,2601,5910,16133,572,474
48,2631,131,2601,5920.000000000233,16124,570.9999999997672,474
48,2631,131.00000000023283,2601,5923,16134,570.9999999997672,474
48,2631,131.00000000023283,2601,5921.999999999767,16126,570.9999999997672,474
48,2631,131.00000000023283,2601,5920.999999999767,16125,571,474
48,2631,132,2601,5922,16126,572,474
48,2631,131,2601,5923,16123,572,474
48,2631,131,2601,5934,16128,571,474
48,2631,131,2601,5924,16129,572,474
48,2631,131,2601,5924,16128,571,474
48,2631,132,2601,5895,16124,572.0000000002328,474
46.99999999976717,2631,130.99999999976717,2601,5949,16126,572,474
48,2631,131,2601,5949,16137,570,474
48,2631,131,2601,5933,16132,572,474
47,2631,131,2601,5949,16129,572,474
47,2631,131,2601,5925,16131,571,474
48,2631,131,2601,5922,16126,572,474
47,2631,132,2601,5938.000000000233,16130,571,474
48,2631,131,2601,5924,16134,571,474
48,2631,131,2601,5922,16127,572,474
47,2631,131,2601,5925,16124,570,474
46.99999999976717,2631,132,2601,5922,16125,572.0000000002328,474
48,2631,130.99999999976717,2601,5922,16124,571,474
48,2631,131,2601,5949,16134,571,474
48,2631,131,2601,5937,16135,572,474
47,2631,132.00000000023283,2601,5934.999999999767,16131,571,474
47,2631,131,2601,5925,16134,571.0000000002328,474
47.00000000023283,2631,130.99999999976717,2601,5938,16131,572,474
48,2631,131,2601,5910,16127,571,474
48,2631,131,2601,5924,16132,572,474
47,2631,131,2601,5913,16125,571,474
46.99999999976717,2631,132,2601,5923,16128,571.0000000002328,474
47.00000000023283,2631,131,2601,5927,16130,572,474
48,2631,131,2601,5928,16135,571,474
48,2631,131,2601,5913,16133,571,474
47,2631,131,2601,5929.999999999767,16124,571,474
48,2631,131,2601,5914,16125,571,474
47,2631,131,2601,5909,16128,571,474
46.99999999976717,2631,132,2601,5927.000000000233,16127,571,474
48,2631,132,2601,5914,16127,572,474
47,2631,132,2601,5910.000000000233,16128,571,474
47,2631,131,2601,5913,16130,571,474
48,2631,131,2601,5928,16122,571,474
48,2631,131,2601,5912,16132,571,474
46.99999999976717,2631,132,2601,5913,16134,571,474
48,2631,131,2601,5927,16133,571,474
47,2631,131,2601,5924,16126,571,474
47,2631,131,2601,5927,16132,572,474
47,2631,132,2601,5921,16125,571,474
47,2631,132,2601,5926,16125,572,474
48,2631,131,2601,5928.000000000233,16135,571.9999999997672,474
48,2631,131.00000000023283,2601,5916.999999999767,16126,571,474
47,2631,131,2601,5913,16133,572,474
48,2631,131,2601,5915,16126,571.0000000002328,474
48,2631,130.99999999976717,2601,5902,16124,572,474
48,2631,131,2601,5900,16137,571,474
48,2631,131,2601,5917,16131,569.9999999997672,474
47,2631,132.00000000023283,2601,5926.999999999767,16133,572,474
48,2631,131,2601,5914,16125,571,474
48,2631,131,2601,5917,16133,570.9999999997672,474
48,2631,131.00000000023283,2601,5929.999999999767,16132,571,474
47,2631,132,2601,5913,16127,572,474
48,2631,131,2601,5930,16135,571.0000000002328,474
48,2631,130.99999999976717,2601,5928,16134,571,474
48,2631,132,2601,5913,16130,571,474
48,2631,131,2601,5919,16126,571.9999999997672,474
47,2631,132,2601,5904,16136,571,474
48,2631,131,2601,5927,16130,572,474
47.00000000023283,2631,131,2601,5918,16133,571,474
48,2631,131,2601,5917,16124,571,474
48,2631,131,2601,5914,16129,572,474
