registerRequest,registerRequest_size,registerVerify,registerVerify_size,registerComplete,registerComplete_size
28.000000000029104,472,26.999999999970896,260,21.000000000029104,0
21.999999999970896,463,25,260,21,0
21,461,25,260,21,0
22,460,25,260,21,0
22.000000000029104,460,24.999999999970896,260,21,0
22,467,25,260,21,0
22,467,25.000000000029104,260,20.999999999970896,0
22,466,25,260,21.000000000029104,0
21.999999999970896,467,25,260,21,0
22,467,25,260,21,0
22,465,25,260,21,0
22.000000000029104,460,24.999999999970896,260,21,0
22,458,25,260,21,0
21,467,25.000000000029104,260,20.999999999970896,0
21.000000000029104,459,24.999999999970896,260,21.000000000029104,0
20.999999999970896,458,25,260,20,0
21,463,25,260,21,0
22,463,25,260,21.000000000029104,0
21.999999999970896,467,25.000000000029104,260,20.999999999970896,0
21.000000000029104,462,25,260,21,0
22,466,25,260,21,0
22.000000000029104,458,24.999999999970896,260,21,0
22,458,25,260,21,0
22,458,25.000000000029104,260,20.999999999970896,0
21,455,25,260,21.000000000029104,0
20.999999999970896,461,25,260,20,0
22.000000000029104,466,24.999999999970896,260,21,0
22,459,25,260,21,0
22,467,25.000000000029104,260,20.999999999970896,0
22,462,25,260,21.000000000029104,0
21.999999999970896,464,25,260,21,0
21,463,25,260,21,0
21,460,25,260,20.000000000029104,0
21,462,25.000000000029104,260,20.999999999970896,0
22,459,25,260,20,0
21,460,25,260,21,0
22.000000000029104,455,24.999999999970896,260,21,0
22,460,25,260,21,0
22,469,25,260,21,0
22,457,25,260,21.000000000029104,0
21.999999999970896,470,25.000000000029104,260,20.999999999970896,0
21.000000000029104,464,25,260,21,0
21,457,25,260,21,0
21,464,26,260,21,0
22,459,25,260,21,0
21,456,24,260,19.999999999970896,0
21,471,25,260,20,0
20.999999999970896,459,25,260,21,0
22.000000000029104,469,24.999999999970896,260,21,0
22,461,25,260,21,0
22.000000000029104,456,24.999999999970896,260,21,0
21,465,25,260,21,0
22,461,25.000000000029104,260,20.999999999970896,0
22,457,25,260,21.000000000029104,0
21.999999999970896,471,25,260,21,0
22,460,25,260,21,0
21,466,25,260,20,0
21,464,25.000000000029104,260,20,0
21,457,25,260,21,0
22,457,25,260,21,0
22.000000000029104,465,24.999999999970896,260,21,0
22,466,25,260,21,0
22,467,25,260,21,0
21,458,25,260,22.000000000029104,0
21.999999999970896,463,25.000000000029104,260,20.999999999970896,0
21.000000000029104,461,25.999999999970896,260,21,0
22,466,25,260,21,0
22.000000000029104,467,24.999999999970896,260,21,0
22,459,25,260,21,0
22,467,25.000000000029104,260,20.999999999970896,0
22,461,25,260,20,0
20.999999999970896,466,25,260,21,0
22.000000000029104,467,24.999999999970896,260,21,0
22,471,25,260,21,0
22,463,25.000000000029104,260,20.999999999970896,0
22,460,25,260,21.000000000029104,0
